run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-0-20200524-19:12:19-15568,runattr,,,configname,General,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,datetime,20200524-19:12:19,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,experiment,General,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,inifile,omnetpp.ini,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,iterationvars,,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,iterationvarsf,,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,measurement,,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,network,RSUExampleScenariomine,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,processid,15568,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,repetition,0,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,replication,#0,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,resultdir,results,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,runnumber,0,,,,,,,
General-0-20200524-19:12:19-15568,runattr,,,seedset,0,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.playgroundSizeX,3500m,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.playgroundSizeY,2000m,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.playgroundSizeZ,50m,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.annotations.draw,true,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.obstacles.obstacles,"xmldoc(""config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.manager.updateInterval,1s,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.manager.host,"""localhost""",,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.manager.port,9999,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.manager.autoShutdown,true,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[0].mobility.x,1399,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[0].mobility.y,1512,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[0].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[1].mobility.x,1461,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[1].mobility.y,1456,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[1].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[2].mobility.x,1474,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[2].mobility.y,1446,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[2].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[3].mobility.x,1680,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[3].mobility.y,1281,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[3].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[4].mobility.x,1740,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[4].mobility.y,1200,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[4].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[5].mobility.x,1803,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[5].mobility.y,1148,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[5].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[6].mobility.x,1865,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[6].mobility.y,1103,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[6].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[7].mobility.x,1993,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[7].mobility.y,1027,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[7].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[8].mobility.x,2093,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[8].mobility.y,973,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[8].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[9].mobility.x,2162,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[9].mobility.y,943,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[9].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[10].mobility.x,2211,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[10].mobility.y,914,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[10].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[11].mobility.x,2390,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[11].mobility.y,823,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[11].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[12].mobility.x,2428,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[12].mobility.y,789,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[12].mobility.z,3,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[13].mobility.x,2488,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[13].mobility.y,725,,,,,,,
General-0-20200524-19:12:19-15568,param,,,*.rsu[13].mobility.z,3,,,,,,,
